# Fiwo Root Dictionary — 1493 entries
# GENERATED from Canon/lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | tier | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Grammar — 88 entries ===
-a | tier 0 · grammar core | Biological Noun Derivation | Derives a biological noun, such as a living organism, plant, animal, or body part.
-d | tier 0 · grammar core | Past Tense | Indicates an action that occurred in the past.
-dyk | tier 0 · grammar core | Past Perfect | Establishes that an action was completely finished before another past action occurred.
-dyq | tier 0 · grammar core | Past Continuous | Indicates an action that was actively in progress during the past.
-e | tier 0 · grammar core | Modifier Derivation | Derives a descriptive modifier.
-f | tier 0 · grammar core | Distributive Flag | The -f suffix tells the parser to act as mathematical parentheses, distributing the modifier backward across every noun connected by lan until the chain breaks.
-i | tier 0 · grammar core | Verb / Stative Verb Derivation | Derives an action or a stative verb.
-k | tier 0 · grammar core | Perfect Aspect | Indicates a completed past action that has a direct result or relevance right now.
-m | tier 0 · grammar core | Nested Modifier Flag | Signals the parser to suspend the Look Left rule, allowing the next modifier to attach to this word instead of the root.
-o | tier 0 · grammar core | Concrete Noun Derivation | Derives a concrete noun, such as a physical object, material, tool, or location.
-p | tier 0 · grammar core | Specific Noun Marker | Explicitly identifies a known, definite entity.
-q | tier 0 · grammar core | Continuous Aspect | Indicates an action actively in progress at this exact moment.
-r | tier 0 · grammar core | Non-specific Noun Marker | Indicates an indefinite, unknown, or general entity.
-s | tier 0 · grammar core | Future Tense | Indicates an action that will occur forward in time.
-syk | tier 0 · grammar core | Future Perfect | Sets a deadline for when a future action will be completely finished.
-syq | tier 0 · grammar core | Future Continuous | Describes an ongoing state at a specific point in the future.
-t | tier 0 · grammar core | The Stacker | Mathematical linker that locks adjacent words into a single syntactic block, combining single digits into multi-digit integers or permanently chaining serial verbs.
-u | tier 0 · grammar core | Abstract Noun Derivation | Derives an abstract noun, such as a concept, emotion, time, or intangible idea.
ak | tier 0 · grammar core | Ouch / Pain | Exclamation of sudden physical pain or intense discomfort.
ap | tier 0 · grammar core | Divided by / Fraction of / Out of | This is an immutable mathematical operator used to perform explicit division or create fractions within a sentence. When placed between two numerical blocks, the parser evaluates the calculation first, unifying them into a single quantitative value before the result looks left to attach to a noun. It can also be used in a Zero Copula sentence to state a mathematical equation (e.g., sluqe ap dewe tafe = 6 divided by 2 is 3).
bef | tier 0 · grammar core | clause connector / and (clausal) | Clausal wall introducing an independent parallel thought; completely resets the SVO parser.
bip | tier 0 · grammar core | Firstly / First of all | A pragmatic mood tag placed at the absolute start of a sentence to introduce the first point in a sequence.
bul | tier 0 · grammar core | but | Clausal wall introducing a contrasting thought or exception.
can | tier 0 · grammar core | then | Clausal wall introducing a subsequent chronological action; resolves a conditional premise.
cef | tier 0 · grammar core | Please | Expresses politeness, courteous intent, or softens a command.
dal | tier 0 · grammar core | he / she / it (animate) | Third-person singular animate neutral; an entity with intent or agency where gender is unspecified or irrelevant.
daq | tier 0 · grammar core | he / him | Third-person singular animate male; a male entity with intent or agency.
das | tier 0 · grammar core | she / her | Third-person singular animate female; a female entity with intent or agency.
dez | tier 0 · grammar core | good morning | Phatic greeting used in the morning; 'good morning.' Standalone on the Null Track (Rule 33).
fap | tier 0 · grammar core | Passive Voice Indicator | Structural tag placed at the clause start to mathematically invert SVO thematic roles.
