# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
acumulia | acumuli i→a | Trader | A person who trades; a trader. [Verb -> Biological Noun (doer)] Senses: 1) trader
afbia | afbi i→a | Crawler | A person who crawls; a crawler. [Verb -> Biological Noun (doer)] Senses: 1) crawler
agmia | agmi i→a | Gluer | A person who glues; a gluer. [Verb -> Biological Noun (doer)] Senses: 1) gluer
akaria | akari i→a | Roaster | A person who roasts; a roaster. [Verb -> Biological Noun (doer)] Senses: 1) roaster
akdia | akdi i→a | Shouter | A person who shouts; a shouter. [Verb -> Biological Noun (doer)] Senses: 1) shouter
arcipia | arcipi i→a | Participant | A person who participates; a participant. [Verb -> Biological Noun (doer)] Senses: 1) participant
arsumpia | arsumpi i→a | One that flows | A person who flows; an one that flows. [Verb -> Biological Noun (doer)] Senses: 1) one that flows
artua | artu u→a | Artist | A person who practices or is characterized by art. [Abstract Noun -> Biological Agent (associated with)] Senses: 1) artist; 2) creator
asmkia | asmki i→a | Binder | A person who ties; a binder. [Verb -> Biological Noun (doer)] Senses: 1) binder
axritsoa | axritso o→a | Dune guide | A person who guides or works among sand dunes; a desert guide. [Concrete Noun -> Biological Noun (handler)] Senses: 1) dune guide; 2) desert guide
axvua | axvu u→a | Ally | A person or party in an alliance; an ally. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) ally
bailia | baili i→a | Borrower | A person who borrows; a borrower. [Verb -> Biological Noun (doer)] Senses: 1) borrower
bakia | baki i→a | Trier | A person who tries; a trier. [Verb -> Biological Noun (doer)] Senses: 1) trier
baqia | baqi i→a | Caller | A person who calls; a caller. [Verb -> Biological Noun (doer)] Senses: 1) caller
beatia | beati i→a | Closer | A person who closes; a closer. [Verb -> Biological Noun (doer)] Senses: 1) closer
biklia | bikli i→a | Publisher | A person who publishes; a publisher. [Verb -> Biological Noun (doer)] Senses: 1) publisher
biznua | biznu u→a | Businessperson | A person who runs or works in business; a businessperson. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) businessperson; 2) entrepreneur
bomufua | bomufu u→a | Pensioner | A person who receives a pension. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) pensioner; 2) retiree on a pension
boslia | bosli i→a | Hurrier | A person who hurries; a hurrier. [Verb -> Biological Noun (doer)] Senses: 1) hurrier
bracia | braci i→a | Chewer | A person who chews; a chewer. [Verb -> Biological Noun (doer)] Senses: 1) chewer
brirsoa | brirso o→a | Lakekeeper | A person who works on or tends a lake; a lake warden. [Concrete Noun -> Biological Noun (handler)] Senses: 1) lakekeeper; 2) lake warden
brykloa | bryklo o→a | Baker | A person who bakes bread; a baker. [Concrete Noun -> Biological Noun (handler)] Senses: 1) baker
bumpia | bumpi i→a | Complainer | A person who complains; a complainer. [Verb -> Biological Noun (doer)] Senses: 1) complainer
bunowoa | bunowo o→a | Pharmacist | A person who prepares and dispenses medicines. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pharmacist
